word,definition
abô,"The same, similar"
ách,"Great grandson, great granddaughter, great grandnephew, niece"
achâm,collide
achăng,"Abandon, leave, leave, let go, throw aside"
achek,Pineapple
achep,handful
achom,"collide, clash"
achon,island
achot,"press against, lean"
achŭt,push
ada,Duck
adiang,Scorpio
adoih,Ouch
adrà,dry
adrah,Mix
adreng,"Grill, burn, roast"
adrih,Raw
adrin,"Strive, strive, make every effort to"
adroi,before
agal,"Hat, turban, crown"
agrop,"To unite, to bring together"
ak,Crow
akan,"Woman, wife, female"
akap,Trap 
akar,"Skin, leather"
akâu,Body
ake,Horn
ako,"Neck, collar"
akuk,"Cold, to have cold"
akŭol,"Platoon, platoon"
alah,lazy
alah ko,Dislike
alâk,Countless
"alu, lu","Engage, excite, push, advise, exhort."
amil,Mirror
an,Saddle.
amrel,"To ridicule, to mock, to mock bitterly, "
"anai, ou nai","Another, another, others."
anam,"Grains of pearls, beads."
ang,"Light, luminous, shine, shine. "
anglo,"age, century"
anha,Carrelet
anhan,silent
anhang,Echo
anheh,"Often, frequently"
anhôk,"strangle, hang"
anhông,"Sing, songs"
ani,"Middle, in the middle, half."
anol,"Attempt, try, experiment"
anŭk,"advise, suggest"
apaa,"tiring, painful"
apah,"reward, pay"
apăng,listen
apang,argument
apăr,fly
apinh,"Ask, pray, question"
apom,"Round, cylindrical"
arăn,"Cease, discontinue"
arăng,"Arrow, bullet"
arăng,"Compact, dense, firm"
arang unh,"Sparks, flame."
arang,Flower
areh,hate
ataih,"Far, far away"
atam,"Add, increase"
atau,corpse
atech,disappear
athai,"Mandate, recommend"
atô,"Equal, equally, like, similarly"
atoét,"Finally, lastly"
atoi,"load to carry on the shoulder cross, beam ."
atol,suspend
atôm,pick up
atoih ko,unlike
axong,"Share, share, distribute"
ba,Accompany
bahach,Whisper
bahach,"melt, liquefy"
bahang,Pepper
bây,Maybe
bâng-brang,"Rare, seldom"
bât,"Salty, tasty"
bat,immitate
bech-boch,gibbon
benh,Curly
bet,pierced
bia hong,Crocodile.
"biâng, biong",Urinate
bih,snake
bio,Little
bioh,skillful
blach,Larynx
blah,canvases
blah,War
blai,Overflow
blak,cockroach
blăng-bluh,Lemongrass
blang,alternatively
blang,"Expose, explain, report"
blat,"slice, slicing"
"blieo, pley ",Kidneys.
blo,ferment
blôk ou blŭk blôk,regret
blon,Square
blông,boast
blu,Thigh
bluch,relinquish
bluih,"boil, boiling"
lŭk,"Trouble,"
blung,fish
blŭng,obstacles.
bluôt ou blut,disappoint
bo,"abundance,"
bo,"Pale, withered"
bok,"Grandfather, grandfather, great uncle, father in law, male ancestors"
bom,Reach
bông,"testicles,"
bônh,convenient.
bop,"deformed, dented."
bot,introduce
"bou, mou","smell, exhale"
bôbe,goat
bôbeng,"necklace,"
"bôbot, pobot","rush, hasten "
bôbut,owl
bôbui,Dust
bôbung,mountain summit
bodao,"try,"
"bôdar, podar","surround,"
bodo,pledge
bôdoh,explode.
bŭdol,"Replace,"
bôdôm,begin
bôdong,"erect, elevate"
bôdor,horrifies
bodreng,Rainbow.
bôdriu,"Awaken, rouse"
bôdro,"Selling, buying, trading"
bôdrông-bôdrang,Argue
bôgâm,Oppress
bôgâu,"resentment,"
bôgôt,confiscating
bôgri,"Messy, dirty"
bôgrông,"Disobeying, resisting "
bôgù,"horrible,"
bohiar,"unfold,"
boja,weasel.
bôk,"Slow, late, clumsy, straggler, inactive"
bôkan,Ruminate.
bôkoih,Itching
bôkuey,Lizard.
bôkung-kleng,frizzy.
bôla,Ivory
bôlăm,"Chatting, talkative"
"bôlâu, hla bolâu",Betel.
bôleh,bleeding.
bôloi,"certain, certainly"
bôlôh,alternately
bôlok,"Elsewhere,"
bôluk,Dizzy
"bôna, mona",prisoner.
bone,"grateful,"
bônga,"Fatality,"
bôngai,"Man, men, the human race."
bôngang,ants
bôngieng,jealousy.
bôngoh,humiliate
"bônhan, monhan","Refuse, resist,"
bônhul,"Poisonous, poisonous, unhealthy."
bôthi,sacrifices
bôtho,"instruct, teach"
bôti,orphan
bôxam,Pheasant.
bôxat,Cemetery
bôxâu,"oysters, mussels "
bôxe,"Tease, annoy"
boxorây,Measles.
boxu,invite
bôxuh,Fencing.
brăng,black.
brang,sparse
brat,Tasty
"bre, bre bre",carefully
breh,"Sca
r"
breng,"Lose your temper, snap"
bri,"Forest, countryside, woods"
brôk.,"Walk, go, leave."
"brot, brât","Remove, tear off"
"brôm, mrom","Arrow, bullet"
bruch,Smile
bŭ,bury
"buâh, buoh",complain
bu-bui,Dust
buch,"extirpate,"
buh,"roast,"
"buhum, muhum",reparation
buhut,"storm, typhoon."
buih,Ferment
bŭk,Rotten
buk,"shipwrecked, capsize"
buk,Mattress.
bul,"Drunk, intoxication"
bŭl,scarerow
bum,"potatoes,"
"bun, bôn",forearm.
"buon, buân","dedicate, vow"
buuh,Sweat.
bŭh,"Either,"
bŭh bŭh,"Persistently, repeatedly"
cha,seek
cha,wear out
chai,"Resin, glass"
chal,"reciprocate, restore"
"châl, chôl","Squeeze, stuff"
chan,Trap
chang,waiting.
chang,better.
char,Wild cat.
châr,split
charaih,Combing
"charang, xarang",Dart
"che, hla che",Tea
chek,"grow, increase "
chek,Fertile
cheng,"separation,"
chep,"Carry, hold"
"chét, chiet",trim
chil,Pay debt
chô,"Bind, garrote, tie"
choa,"Paddle, oar"
choh,"dig, scrape "
chon,"Elite, intelligent, expert "
chong,"Clearing,"
chonh,Buy
chop,tiptoe
chor,"Digging channel, canal, artery"
chobu,Fist
chodo,Rhino horn.
chôgông,teapot
chôkŭng,"Rich, fortunate, successful"
chokul,Steaming
chôme-chômoi,gossip 
chônong,"But, however"
chopét,Pinch
chôri,Indeed
chôrih,"astonishing, strange, extraordinary, marvelous"
chôroh,Diarrhea
chôruh,baptize
chớt,"Content, cheerful, joyful"
châu,penetrate.
chu,Smallpox
chu chi,grind
"chuoh, choâh",sand
dah,"quickly, hasten"
dah,"Germinate,"
dai,"Slow, slowly"
"dak, năk",Spear trap set for per
dak,"sea, river"
dal,Until
dam,Servant
dam,Coincide.
dang,"Advantage, profit"
dao,Saber
dâp,"Everything,"
"dâp, dop",blanket
dé,Stupid
deh,emerged
dek-dôk,"Hiccups,"
"dek, dik, dúk","Lift, remove"
del,footsteps
deng,"spell, curses"
di,Finished
dĩ,Prefer
diă dia,Gradually
dibal,"Mutually, reciprocally"
dien,Short
dieng,Unemployed
diet,take advantage of 
dik,slaves.
dim,"Sweet, patient, gentle, leniency, affability"
ding,"Tube, pipe"
"diu, du","escape, flee"
dô dô,bent.
doch,"suction,"
doh,"Burst, explode"
doh gop,earrings
doh,free
doih,"withdraw, pulling, extract"
dôŭk,Monkey
dol long,marrow
dông,"Help, rescue, save, redeem"
dông,Leaning
dônh,"collect,"
dôba,branch
dobuenh,"Round, cylindrical."
dôdă,"Stammer, stutter"
dodi,Sometimes
dodioh,solitude.
dôdok,Embarrassing
dodôn,mound
dodring,"Together,"
dodrŭ,earthquake.
"dodrang, todrang",Cage
dôh,"Interrupt, cease"
dôh,harmless
dogu,"Inflammation, swelling"
dohlông,"restraints,"
dôhmăn,comfortable.
dohniet,Tighten 
dok,"Rice bran, wheat bran"
dôl,Solid
dôl,Shallow 
dôlam,"Interior, chamber, compartment"
donâu,"Pond, lake."
dônen,Anvil.
dong,answer
dong,stand still
dong,"from, since"
dông,Shallow
donhum,Iron wood
dôning,Tomorrow.
"dônõl, tônôl",pillar
donong,Perennial
dồnuh,"Poor, destitute, miserable."
donung,bladder.
dop,Cover.
"dorang, dorông",Flames
dôreh,"deviate, move away"
dôrey,Shrubs 
dorey,shivering
dot,"stop, prevent, block"
"doxalam, xalam","Interval, between"
doxieng,Bowstring.
dra,Dry
drakăn,Wife
dreng,Beads
"drôk, kit-drôk",Toad
drou,Today
drong,"Answer, promise"
druei,"Bored, sad, disgusted, discouraged."
druh,"frighten,"
drut,"push, advance"
dum,Red
duôl,width
duon,Hat
duot,"Extract, pull out"
dur,Palisade
dut,pushing
dù,Imbecile
dŭk,"Lift, lift."
ék,Basil
eng,burden
erey,Sow 
eren,Gnawing
erih,"Live, alive"
"eriu, oriu","wake up, awake"
et,Drink
"exai, ôxai","Fishhook, angling"
"exi, oxi","Song, sing, cry"
ga,"like, love"
gach,"Scab, ringworm"
gây,"Strong, durable"
gâl,"Suitable, proportionate, enough"
gam,Dark blue
"gâp, gau","Other, stranger"
gâp,sufficient.
gap,Tighten
gén,crush
gér,Grain
get,Small bottle
"gia, gia gia","little,"
"giâm, iâm",Diminish
"gir, gier",Tree
git,"esteem, prize"
glaih,Lightning
gle,hook
gleh,"Tired, exhausted"
gleng,"keep silent, be silent, shut up"
gloh,sprained foot
glôk,strut
glok,drown
glung,"Path, road"
gŭ,pot
gô,Wait
goang,"Circle,"
goh,bright red
gôl,"Small vase, flask, glass, bottle."
gor,Hill
"got, got dodon",reflect
gơ,harvest
goduh mat,Eyebrows.
gôgek,Tickle
gôgồ,tap lightly
gôgôl,"Above all, first of all"
gôgu,Shake
gohngier,"sleep, nap, fall asleep"
"gôhô, gôhu",Gourmand
"gôleng, gôlieng","Lean, incline, lean against, lean on"
"golôm, gôlâm",competitive
gomring,"support, trust, rely"
gonal,"Recognize, know"
gonam,"Enemy, hostile"
gôneng,Urinal
gôni,"Motionless, quiet, modest, stay still"
gônieng,pig tusks
gônôr,main character
got,"restrain, stop, contain, repress"
goxai,shoulder.
gôxang,Rusty
gôxé,unripe
gôxeh,sneeze
gôxéng,rope
goxep,Pinch
goxin,Cooking.
goxong,shrimp
goxop,package
goxor,"porcupine, hedgehog"
goxong,hoarse
gră,"Much, abundantly, too much"
"grach, grai",Cricket
grâm,Thunder
grao,Sparse
gre,Skinny 
grăt-grắt,Withered
groi,Hill.
grông,"Intractable, recalcitrant"
guk,pile up
gug,"Slow, lazy, clumsy"
gut,Bend
hâabât,Whisk.
"habâu, xobâu","sores, wounds."
"habech, hôbech","expeditious, fast, nimble"
habey,Mustard
habo,corn
hach,"melt, liquefy"
hachâm,"Fragile, brittle"
"hachăng, rôchâng","gift, insightful"
"hadech, hadek","Quickly, promptly."
hadoi,Similarly
hadrăâp,reiterate
"hadro, hôdro, xôdro",cicada
hăgắt,cubit
"hajak, ha-iak, hiak","Step, take steps, walk, set off, leave"
hajâm,forge
"hajoch, ha-iôch",Light
"hajol, ha-iol","Hidden, eclipsed"
hajuih,Wet
hâk,vomit
hak,"Split, tear"
hakë,Skinny
hake,Wild boar
hăl,helpful
hala,"Path, side road."
halah,carve
halâm,crumble
halang,"Jars, dishes, bottles"
halâng,"Look, consider, examine"
halenh,"Cunning, deceitful"
halat,Overflow
halông,Throat
hamah-hamâu,"haste, suddenly"
hamai,Rhinoceros
hamăng,Again
hamang,Together
hamang ko,While
hâmâr,Resound
"hămắt, rônăk",weapons
hamâu,On time
hamet,Bat
hamôl,Clouds
hamon,unsatisfied
hanâm,Year
hânang,"In time, during, while"
hâng-hông,naked
hàng,"Burning, biting, spicy"
hangâp,collapse
hanhaih,"Dismiss, move away"
hanhâm,despise
hanhang,blame
hanhoh,Repeat 
hao,climb 
hapong,Visit
hapuh,Exorcise
harat,"Exhausted, tired, tiring, laborious, painful"
hât,Narrow
hatal,Overlay
hătăng,Thin
hâtang,"Right, proper"
hatat,breaking
hâu,"disgusted, bored"
haue,"get lost, misunderstand, mistake"
haueng,"Crazy, insane"
"hech, hek","Crushed, powdered, broken"
hel,"In vain, uselessly"
hem,Conjecture
heng-hong,"depraved, dissolute"
"hep, hip",smell
here,Rattan
hiâ,"And, or, or else"
hiah,"Torn, dilapidated"
"hiâk, hiok","Embarrassed, in pain, in worry."
hiak,"Step, take steps, walk, leave, set out."
hiăng,"Alert, awake, active, lively"
hiar,"Deploy, extend, unfold, develop"
"""hien","Cough, cough"
hin,"Poor, destitute"
hiôk,"Convenient, easy, pleasant "
hiông,lost 
hiot,"Pull, drag, haul"
hiou,"Conjecture, think that, estimate that"
hio,distract 
hiok,"embarrassed,"
hiot,forget
hip,"Smell,"
hla,Leaf
hlak,"Embarrassed, confused, impeded"
hlâm,Seriously
hlăng,"Pure, limpid, clear"
hling,"Melt, liquefy, pour"
hlôh,"Pierced, opening, passage"
"hloi, hlồng ","Continue, incontinent"
hlôm,Blow
hlõt,"debit, sell"
hlou,Pointing
hlop,"Secret, ignored, covered"
hlu,Rehashing
hmã,Accustomed
hmach,"Greet, compliment"
hmăn,happy
"hmăng, hmăng hmăng",long for
hmar,"fish trap, weir"
"hmé, hmï","Silence, be silent"
