word,definition
abĕn,skirt
abơ̆,swipe
abrĕn,numb
abrĕn ti,numbhand
abrĕn jưng,numbfoot
achăm,crispy
krĕnh,crisp
achom,segment
achom kruôĭ 'bŏng,grapefruitsegment
abŭt,storm
ada,duck
adal adal,careful
adal adal,gently
adal adal,leisurely
adon,arrange
adral,mark
adrang,expel
adrêch,breed
adrêch,lineage
adrih 'ba,rice
adrih 'ba,seedling
adrin,excessive
dêh,excessive
adrĭng,together
adrĭng,with
adrơ,face
adrơ,face
adrơ măt,face
adrơ măt,face
adơi,together
adrơ̆i jul,wish
adrơ̆i jul,decline
adruh,woman
adrung 'yĕr,coop
adrũn,bow
agah,outside
hnam,house
agĕi,skillful
apreng,tilted
agrưch,slanted
ahrĕi ơu,now
ahrĕi ơu,now
ai bĭ mah,risk
ai bĭ mah,unlucky
ai brư̆,misfortune
ai brư̆,misfortune
akap,trap
akap,trap
akău,body
akău,body
akău,body
uĕi akău soh,naked
akĕ,thin
akĕ akĕ blong blong,slender
akĕ akoih,twisted
akhan,speak
khan,say
tơja,tell
akhan ăn,reply
akŏm,harvest
akơn,pillow
akơn,lean
akuk,flu
akuk,influenza
al,chop
chô̆̆ al,tie
ala,under
ala,under
gah ala,under
gah ala,under
alah plach,false
alah plach,deceitful
alăng,clever
alăng,skillful
alăng,alert
alăng aluôh,wise
aleh,free
aleh,free
alê̆,know
lê̆,know
aliet,touch
amăk,cost
amăk,hook
amem bơnat,cherish
amem bơnat,fondle
amem mơnat,cherish
amem mơnat,fondle
amông pit,banana
pit,banana
amrĕ,pepper
anat,difficult
anăn măt,name
angiêng,yell
angiêng,shout
anglŏ anglơi,normal
angŏi,hide
anguôn,hide
anhang,resonate
anhĭn,move
anhôm,focus
bơdô kon,lullaby
kon,child
anhơi,show
pơ-ang,show
anhuk,collapse
anhul,tease
anhul,tease
anhŭk,invite
anong,carry
anong măng,late
anô̆,front
anô̆ ană,later
anô̆ kơnh,later
anung,wrap
anung,package
anŭl,joke
apach,strange
apach,rub
apăl,fly
păiI,fly
apăl asơl,soar
apinh,demand
apinh,ask
apinh,ask
pinh,demand
pinh,ask
pinh,ask
apinh sa,beg
apo,dream
apoh,spread
apoih,fire
apoih,torch
apôm,round
apuih,clean
apuih hnam,clean
apung,hometown
apung,hometown
ară,remain
ară,still
ară,still
ară tôm,healthy
ară tôm,intact
areh,hate
arih,alive
arih,unripe
pơkau,flower
pơkau arih,flower
gôh,red
gôh arônh,red
asai,sentence
asai ka,fishing
ka,fish
aseh,horse
aseh,horse
asĕch,meat
asĕng asĕng,tilted
asiu asău,giggling
asong,divide
asu sim,cover
asu,build
sim,blanket
atak,think
atak,think
atau,stand
atăk,roof
atăk hnam,roof
atăk măt,name
atăng,swell
athu,cover
athu,cover
athu,build
athu 'mi,shelter
athu,shelter
'mi,rain
atol,hang
atŏng phau,barrel
phau,gun
atơ̆t,armor
atơ̆u,ghost
atuch,end
atung sa,eating
atung,eating
sa,eat
'long atung 'yung,grow
'long,tree
au,shirt
ăn,give
ăn,give
ăn,to
ayuh,cold
ba,we
bah rok đak,downstream
rok đak,stream
bai,field
beh,touch
bek,fat
bek,fat
bek 'bŏ,chubby
bẽ,go
bếng,wear
bếng,wear
bia,gold
'bak,silver
biêt,put
biêt,put
biêk pơm,do
pơm,do
bih,you
bĭ,no
bĭ ăn,forbid
bĭ kơnă,cheap
bĭ lah 'boh,strange
bĭ mah,lack
bĭ mah,lack
bĭ man,fail
bĭ thê̆,bad
bĭ thê̆,bad
bĭ trŏ,wrong
bĭ trŏ,wrong
bĭ wã sa,appetiteless
bĭ yôk,uncomfortable
blah,thing
chiêu,mat
duôh,chopsticks
hlak,piece
đak blai,spill
đak,water
blai,overflow
blăn,tease
blăn,tease
bling bling,flutter
ŭnh,fire
blŏch,stroke
blŏch,caress
blŏch ti,massage
blơng khơng,orchestra
blu,thigh
blu,thigh
bluh lêch,emerge
bluh lêch,step
blung,crawl
blŭ blă,bustling
blŭng adrol,surpass
blưk pit,bunch
bor,bridge
bor,bridge
kung,bridge
kung,bridge
bŏ,bundle
'long ŭnh,fuel
bŏ 'long ŭnh,bundle
bŏk,hoe
teh,earth
bŏk teh,hoe
bôp,sprout
bô̆,set
bơbê,goat
bơda,rainbow
bơda,rainbow
bơdal,rotate
bơdal,revolve
bơdê,despise
bơdê,sarcastic
bơdiêu,return
bơdong,sad
bơdong,sad
bơdŏ năng,compare
bơdŏ,trap
sem,bird
